mode=gpu, nw=32, p=32, niter=200, t=39
mode=gpu, nw=64, p=64, niter=200, t=97
mode=gpu, nw=32, p=16, niter=200, t=45
mode=gpu, nw=32, p=8, niter=200, t=47
mode=gpu, nw=128, p=128, niter=200, t=215
mode=gpu, nw=128, p=64, niter=200, t=237
mode=gpu, nw=32, p=1, niter=200, t=55
mode=gpu, nw=32, p=2, niter=200, t=46
mode=gpu, nw=32, p=4, niter=200, t=42
mode=cpu, nw=32, p=32, niter=200, t=17
mode=cpu, nw=64, p=64, niter=200, t=34
mode=cpu, nw=128, p=128, niter=200, t=78
mode=cpu, nw=128, p=64, niter=200, t=86
mode=cpu, nw=64, p=32, niter=200, t=47
mode=cpu, nw=32, p=16, niter=200, t=16
mode=cpu, nw=32, p=8, niter=200, t=16
mode=cpu, nw=32, p=4, niter=200, t=15
mode=cpu, nw=32, p=2, niter=200, t=15
mode=cpu, nw=32, p=1, niter=200, t=12
mode=cpu, nw=64, p=1, niter=200, t=23
mode=cpu, nw=128, p=1, niter=200, t=47
mode=af, nw=32, p=8, niter=200, t=41
mode=af, nw=32, p=16, niter=200, t=34
mode=af, nw=32, p=32, niter=200, t=34
mode=af, nw=64, p=64, niter=200, t=34
mode=af, nw=128, p=128, niter=200, t=34
mode=af, nw=256, p=256, niter=200, t=46
mode=af, nw=512, p=512, niter=200, t=51
mode=af, nw=1024, p=1024, niter=200, t=63
mode=af, nw=2048, p=2048, niter=200, t=93
mode=af, nw=32, p=4, niter=200, t=61
mode=af, nw=32, p=2, niter=200, t=107
mode=af, nw=32, p=1, niter=200, t=193
